timestamp,factory_id,line_id,shift,product_id,order_id,planned_qty,produced_qty,scrap_qty,defects_count,defect_type,cycle_time_s,oee,availability,performance,quality,machine_state,downtime_reason,maintenance_type,maintenance_due_date,vibration_mm_s,temperature_c,pressure_bar,energy_kwh,operator_id,workorder_status
2025-11-03 06:00:00,FRA-PLANT-01,Line-A,Shift-1,P-Widget,WO-20251103-1860,47,41,1,0,None,44.4,0.986,1.0,1.033,0.954,Running,None,Corrective,2025-11-05,1.814,40.02,6.36,11.31,OP-015,In-Progress
2025-11-03 06:00:00,FRA-PLANT-01,Line-B,Shift-1,P-Widget,WO-20251103-9666,67,2,0,0,None,44.66,0.602,0.603,1.044,0.956,Breakdown,Unplanned Breakdown,Corrective,2025-11-17,1.188,30.46,5.11,4.144,OP-010,Planned
2025-11-03 06:00:00,FRA-PLANT-01,Line-C,Shift-1,P-Widget,WO-20251103-8513,59,58,3,2,None,28.64,0.939,1.0,1.002,0.937,Running,None,Calibration,2025-11-03,1.443,38.75,6.6,11.82,OP-002,In-Progress
2025-11-03 06:15:00,FRA-PLANT-01,Line-A,Shift-1,P-Widget,WO-20251103-5297,53,48,2,2,Paint,39.95,0.865,1.0,0.916,0.944,Running,None,Preventive,2025-11-04,2.168,43.31,6.53,12.208,OP-004,In-Progress
2025-11-03 06:15:00,FRA-PLANT-01,Line-B,Shift-1,P-Widget,WO-20251103-9006,63,57,3,3,None,38.02,1.0,1.0,1.066,0.941,Running,None,Corrective,2025-11-05,1.955,39.36,6.23,12.84,OP-009,In-Progress
2025-11-03 06:15:00,FRA-PLANT-01,Line-C,Shift-1,P-Gadget,WO-20251103-3731,61,6,0,0,None,25.81,0.555,0.762,0.744,0.979,Maintenance,Planned Maintenance,Corrective,2025-11-05,1.155,33.57,5.25,5.927,OP-008,On-Hold
2025-11-03 06:30:00,FRA-PLANT-01,Line-A,Shift-1,P-Gadget,WO-20251103-8574,54,48,1,1,None,41.16,0.919,1.0,0.953,0.964,Running,None,Corrective,2025-11-10,2.205,37.15,6.34,12.892,OP-007,In-Progress
2025-11-03 06:30:00,FRA-PLANT-01,Line-B,Shift-1,P-Assembly,WO-20251103-6592,72,70,1,0,None,38.85,0.79,1.0,0.808,0.977,Running,None,Preventive,2025-11-06,1.772,36.99,6.36,11.386,OP-007,In-Progress
2025-11-03 06:30:00,FRA-PLANT-01,Line-C,Shift-1,P-Widget,WO-20251103-7585,51,48,0,0,None,37.19,0.884,1.0,0.901,0.981,Running,None,Preventive,2025-11-04,1.896,36.01,6.64,10.924,OP-020,In-Progress
2025-11-03 06:45:00,FRA-PLANT-01,Line-A,Shift-1,P-Widget,WO-20251103-6791,71,61,0,0,None,34.41,1.0,1.0,1.093,0.986,Running,None,Corrective,2025-11-04,2.217,36.66,6.65,11.757,OP-006,In-Progress
2025-11-03 06:45:00,FRA-PLANT-01,Line-B,Shift-1,P-Gadget,WO-20251103-1659,58,58,1,0,Paint,35.36,1.0,1.0,1.035,0.974,Running,None,Corrective,2025-11-06,2.271,37.46,6.25,12.422,OP-004,Completed
2025-11-03 06:45:00,FRA-PLANT-01,Line-C,Shift-1,P-Widget,WO-20251103-7287,41,5,0,0,None,30.58,0.737,0.755,1.039,0.94,Breakdown,Unplanned Breakdown,Inspection,2025-11-10,1.109,32.3,5.48,4.285,OP-016,Planned
2025-11-03 07:00:00,FRA-PLANT-01,Line-A,Shift-1,P-Gadget,WO-20251103-5199,74,76,2,2,None,28.52,0.681,1.0,0.707,0.963,Running,None,Corrective,2025-11-10,1.555,34.13,6.36,11.985,OP-020,Completed
2025-11-03 07:00:00,FRA-PLANT-01,Line-B,Shift-1,P-Widget,WO-20251103-5555,61,54,2,1,Misalignment,40.9,0.866,1.0,0.901,0.962,Running,None,Preventive,2025-11-10,1.986,38.68,6.08,12.185,OP-019,In-Progress
2025-11-03 07:00:00,FRA-PLANT-01,Line-C,Shift-1,P-Widget,WO-20251103-8679,67,60,2,1,Paint,36.06,0.886,1.0,0.929,0.953,Running,None,Preventive,2025-11-04,1.81,39.01,6.43,13.153,OP-017,In-Progress
2025-11-03 07:15:00,FRA-PLANT-01,Line-A,Shift-1,P-Widget,WO-20251103-2816,70,30,0,0,None,30.91,0.521,0.51,1.039,0.983,Changeover,Changeover,Preventive,2025-11-04,1.912,34.78,5.33,7.419,OP-010,On-Hold
